# Woo (WOrdlist generator Object-oriented verb section) data file
#
# Copyright (C) 2000-2002 Nadav Har'El, Dan Kenigsberg
#
# options for each word:
זמר פ,נפ,פי,פו,הת,אין_שם_פעולה
זמר פ,קל_אפעול
זנח פ,הפ,הו,קל_אפעל
זנח פ,נפ,אין_שם_פעולה
זנק פ,פי
זעזע פ,פי,פו,הת
זעף פ,הפ
זעף פ,קל_אפעל,אין_שם_פעולה
זעק פ,הפ,הו,הת
זעק פ,קל_אפעל,אין_שם_פעולה,אין_פעול
זקן פ,הפ,אין_פעול,אין_שם_פעולה
זקן פ,הת
זקן פ,קל_אפעל,בינוני_שמן,אין_פעול,אין_שם_פעולה,ציווי=זקן
זקק פ,פי,פו,הת,נפ,שמור_עע
זרז פ,פי,הת
זרם פ,קל_אפעול,אין_פעול,הפ
זרק פ,נפ,קל_אפעול,הפ,הו
חבא פ,הפ,הו,הת,אין_שם_פעולה
חבא פ,נפ
חבל פ,קל_אפעול,אין_שם_פעולה,נפ,פי # ,פו
חבק פ,פי,פו,הת
חבר פ,קל_אפעול,פי,פו,הת
חבש פ,נפ,אין_שם_פעולה
חבש פ,קל_אפעול
חגג פ,קל_אפעול,בינוני_שומר,אין_פעול
חגג פ,קל_אפעול,שמור_עע,אין_פעול #,נפ
חגר פ,קל_אפעול,נפ
חדד פ,פי,פו,הת,שמור_עע
חדל פ,קל_אפעל,בינוני_שמן,אין_פעול
חדר פ,קל_אפעול,הפ,הו
חדש פ,פי,פו,הת
חוה פ,פי,שמור_עו
חוה פ,קל_אפעול,שמור_עו,אין_שם_פעולה,אין_פעול
חוה פ,שמור_עו,נפ,אין_שם_פעולה
חול פ,קל_אפעול,הפ,הו,פי,פו,הת
חזה פ,הת
חזה פ,קל_אפעל,נפ,אין_שם_פעולה
חזק פ,הפ,הו,פי,פו,הת
חזר פ,קל_אפעול,הפ,הו,פי,פו,אין_פעול
חטא פ,הפ,הו
חטא פ,קל_אפעל,אין_שם_פעולה,אין_פעול
חטב פ,קל_אפעול,פי,פו
חטף פ,נפ,הפ,אין_שם_פעולה
חטף פ,קל_אפעול
חיב פ,פי,פו,הת,שמור_עו
חיך פ,פי,שמור_עו
חיל פ,פי,פו,הת,שמור_עו
חכה פ,פי,אין_שם_פעולה
חכם פ,הפ,הת
חכר פ,קל_אפעול,הפ,הו
חלה פ,הת
חלה פ,קל_אפעל,אין_שם_פעולה,אין_פעול
חלט פ,הפ,הו
חלל פ,הפ,הו
חלל פ,פי,פו,שמור_עע
חלם פ,הפ
חלם פ,קל_אפעול,נפ,אין_שם_פעולה,אין_פעול
חלף פ,קל_אפעול,אין_פעול,הפ,הו,הת
חלץ פ,קל_אפעול,נפ,פי,פו
חלק פ,הת,פי,פו,נפ,הפ,הו
חלק פ,פי,פו,הת
חלק פ,קל_אפעול,אין_שם_פעולה
חלש פ,קל_אפעול,נפ,הפ,הו
חמא פ,הפ,אין_שם_פעולה
חמם פ,פי,פו,הת,שמור_עע
חמץ פ,הפ,הו
חמק פ,קל_אפעול,אין_פעול,הת
חמר פ,הפ,הו
חמש פ,פי,פו,הת
חנט פ,נפ,אין_שם_פעולה
חנט פ,קל_אפעול
חנך פ,נפ,אין_שם_פעולה
חנך פ,קל_אפעול+,אין_פעול,פי+,פו,הת
חנן פ,קל_אפעול,שמור_עע,הת ##חנן פ,נפ
חנף פ,הת
חנק פ,קל_אפעול,נפ
חסה פ,קל_אפעל,אין_שם_פעולה
חסך פ,קל_אפעול,אין_שם_פעולה,אין_פעול,נפ
חסל פ,פי,פו,הת
חסם פ,נפ,אין_שם_פעולה
חסם פ,קל_אפעול,פי,פו
חסן פ,פי,פו,הת
חסר פ,פי
חסר פ,קל_אפעל,הפ,אין_שם_פעולה,אין_פעול,בינוני_שמן
חפה פ,פי
חפז פ,נפ
חפץ פ,קל_אפעול,בינוני_שמן,אין_שם_פעולה,אין_פעול
חפץ פ,קל_אפעל,אין_שם_פעולה,אין_פעול,בינוני_שמן
חפש פ,פי,פו,הת
חצה פ,קל_אפעל,נפ
חצן פ,הפ,הו
חקק פ,נפ,אין_שם_פעולה,שמור_עע
חקק פ,פי,פו,אין_שם_פעולה
חקק פ,קל_אפעול,שמור_עע
חקר פ,נפ,אין_שם_פעולה
חקר פ,קל_אפעול,אין_פעול
חרב פ,הפ,הו
חרב פ,קל_אפעול,אין_שם_פעולה,אין_פעול,נפ
חרג פ,קל_אפעול,אין_פעול
חרד פ,הפ,הו,הת
חרד פ,קל_אפעול,בינוני_שמן,אין_שם_פעולה
חרה פ,הת
חרט פ,נפ,אין_שם_פעולה
חרט פ,קל_אפעול,הת
חרם פ,הפ,הו
חרף פ,הפ,הו
חרף פ,קל_אפעול,אין_פעול,אין_שם_פעולה # חריפת הציפורים באפריקה
חרץ פ,נפ,אין_שם_פעולה
חרץ פ,קל_אפעול
חשב פ,קל_אפעול,נפ,פי,פו,הת,הפ
